# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210907_Std2_1/: 12C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31
# plane	POL=3		POL=1		POL=0		POL=1		POL=0		POL=1		POL=0		POL=2		POL=1		POL=0		POL=2		POL=2		POL=0		POL=0		POL=0		POL=1		POL=0		POL=0		POL=0		POL=2		POL=2		POL=2		POL=2		POL=1		POL=3		POL=2		POL=4		POL=2		POL=0		POL=3		POL=0	
30	4.000e+00	2.000e+00	3.100e+01	5.568e+00	1.600e+01	4.000e+00	2.000e+01	4.472e+00	4.000e+00	2.000e+00	4.000e+00	2.000e+00	3.000e+00	1.732e+00	2.500e+01	5.000e+00	9.000e+00	3.000e+00	1.700e+01	4.123e+00	2.000e+00	1.414e+00	1.000e+01	3.162e+00	2.000e+00	1.414e+00	3.000e+00	1.732e+00	7.000e+00	2.646e+00	6.000e+00	2.449e+00	5.000e+00	2.236e+00	4.000e+00	2.000e+00	5.000e+00	2.236e+00	1.000e+01	3.162e+00	5.000e+00	2.236e+00	8.000e+00	2.828e+00	6.000e+00	2.449e+00	3.000e+00	1.732e+00	1.600e+01	4.000e+00	8.000e+00	2.828e+00	2.000e+00	1.414e+00	8.000e+00	2.828e+00	9.000e+00	3.000e+00	1.000e+01	3.162e+00	1.700e+01	4.123e+00
31	4.000e+00	2.000e+00	1.500e+01	3.873e+00	1.600e+01	4.000e+00	1.900e+01	4.359e+00	4.000e+00	2.000e+00	2.000e+00	1.414e+00	7.000e+00	2.646e+00	2.500e+01	5.000e+00	1.700e+01	4.123e+00	1.000e+01	3.162e+00	4.000e+00	2.000e+00	5.000e+00	2.236e+00	5.000e+00	2.236e+00	1.000e+00	1.000e+00	6.000e+00	2.449e+00	4.000e+00	2.000e+00	7.000e+00	2.646e+00	5.000e+00	2.236e+00	3.000e+00	1.732e+00	1.500e+01	3.873e+00	6.000e+00	2.449e+00	7.000e+00	2.646e+00	2.000e+00	1.414e+00	4.000e+00	2.000e+00	1.300e+01	3.606e+00	1.500e+01	3.873e+00	4.000e+00	2.000e+00	6.000e+00	2.449e+00	1.000e+01	3.162e+00	1.100e+01	3.317e+00	1.300e+01	3.606e+00
32	1.000e+00	1.000e+00	1.500e+01	3.873e+00	1.700e+01	4.123e+00	1.000e+01	3.162e+00	9.000e+00	3.000e+00	8.000e+00	2.828e+00	4.000e+00	2.000e+00	3.100e+01	5.568e+00	1.500e+01	3.873e+00	1.100e+01	3.317e+00	4.000e+00	2.000e+00	9.000e+00	3.000e+00	2.000e+00	1.414e+00	5.000e+00	2.236e+00	6.000e+00	2.449e+00	8.000e+00	2.828e+00	3.000e+00	1.732e+00	6.000e+00	2.449e+00	1.000e+00	1.000e+00	6.000e+00	2.449e+00	4.000e+00	2.000e+00	6.000e+00	2.449e+00	5.000e+00	2.236e+00	6.000e+00	2.449e+00	1.700e+01	4.123e+00	1.400e+01	3.742e+00	2.000e+00	1.414e+00	7.000e+00	2.646e+00	7.000e+00	2.646e+00	1.400e+01	3.742e+00	1.200e+01	3.464e+00
33	3.000e+00	1.732e+00	3.000e+01	5.477e+00	1.500e+01	3.873e+00	1.200e+01	3.464e+00	3.000e+00	1.732e+00	6.000e+00	2.449e+00	6.000e+00	2.449e+00	2.300e+01	4.796e+00	1.400e+01	3.742e+00	1.000e+01	3.162e+00	1.100e+01	3.317e+00	1.300e+01	3.606e+00	0.000e+00	0.000e+00	7.000e+00	2.646e+00	8.000e+00	2.828e+00	9.000e+00	3.000e+00	4.000e+00	2.000e+00	8.000e+00	2.828e+00	5.000e+00	2.236e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	7.000e+00	2.646e+00	5.000e+00	2.236e+00	8.000e+00	2.828e+00	1.500e+01	3.873e+00	1.100e+01	3.317e+00	6.000e+00	2.449e+00	3.000e+00	1.732e+00	9.000e+00	3.000e+00	1.000e+01	3.162e+00	8.000e+00	2.828e+00
34	2.000e+00	1.414e+00	2.600e+01	5.099e+00	1.800e+01	4.243e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	7.000e+00	2.646e+00	7.000e+00	2.646e+00	3.100e+01	5.568e+00	1.700e+01	4.123e+00	1.200e+01	3.464e+00	3.000e+00	1.732e+00	1.300e+01	3.606e+00	4.000e+00	2.000e+00	3.000e+00	1.732e+00	6.000e+00	2.449e+00	9.000e+00	3.000e+00	6.000e+00	2.449e+00	1.100e+01	3.317e+00	4.000e+00	2.000e+00	1.600e+01	4.000e+00	6.000e+00	2.449e+00	1.300e+01	3.606e+00	4.000e+00	2.000e+00	8.000e+00	2.828e+00	2.300e+01	4.796e+00	1.600e+01	4.000e+00	3.000e+00	1.732e+00	4.000e+00	2.000e+00	7.000e+00	2.646e+00	9.000e+00	3.000e+00	5.000e+00	2.236e+00
35	1.000e+00	1.000e+00	1.800e+01	4.243e+00	2.000e+01	4.472e+00	1.400e+01	3.742e+00	1.600e+01	4.000e+00	7.000e+00	2.646e+00	5.000e+00	2.236e+00	2.700e+01	5.196e+00	1.000e+01	3.162e+00	1.200e+01	3.464e+00	6.000e+00	2.449e+00	8.000e+00	2.828e+00	5.000e+00	2.236e+00	4.000e+00	2.000e+00	6.000e+00	2.449e+00	4.000e+00	2.000e+00	5.000e+00	2.236e+00	9.000e+00	3.000e+00	3.000e+00	1.732e+00	1.300e+01	3.606e+00	6.000e+00	2.449e+00	6.000e+00	2.449e+00	2.000e+00	1.414e+00	1.200e+01	3.464e+00	1.800e+01	4.243e+00	1.200e+01	3.464e+00	7.000e+00	2.646e+00	5.000e+00	2.236e+00	3.000e+00	1.732e+00	1.600e+01	4.000e+00	8.000e+00	2.828e+00
36	3.000e+00	1.732e+00	3.200e+01	5.657e+00	2.000e+01	4.472e+00	1.200e+01	3.464e+00	4.000e+00	2.000e+00	7.000e+00	2.646e+00	5.000e+00	2.236e+00	1.700e+01	4.123e+00	1.900e+01	4.359e+00	1.300e+01	3.606e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	2.000e+00	1.414e+00	4.000e+00	2.000e+00	9.000e+00	3.000e+00	5.000e+00	2.236e+00	4.000e+00	2.000e+00	9.000e+00	3.000e+00	9.000e+00	3.000e+00	1.300e+01	3.606e+00	1.000e+01	3.162e+00	3.000e+00	1.732e+00	3.000e+00	1.732e+00	1.000e+01	3.162e+00	1.700e+01	4.123e+00	1.900e+01	4.359e+00	1.000e+01	3.162e+00	9.000e+00	3.000e+00	3.000e+00	1.732e+00	1.500e+01	3.873e+00	3.000e+00	1.732e+00
37	2.000e+00	1.414e+00	2.400e+01	4.899e+00	1.700e+01	4.123e+00	1.700e+01	4.123e+00	1.000e+01	3.162e+00	5.000e+00	2.236e+00	1.100e+01	3.317e+00	2.600e+01	5.099e+00	1.500e+01	3.873e+00	1.100e+01	3.317e+00	9.000e+00	3.000e+00	4.000e+00	2.000e+00	3.000e+00	1.732e+00	6.000e+00	2.449e+00	1.000e+01	3.162e+00	2.000e+00	1.414e+00	5.000e+00	2.236e+00	1.900e+01	4.359e+00	6.000e+00	2.449e+00	1.800e+01	4.243e+00	1.000e+01	3.162e+00	1.000e+01	3.162e+00	4.000e+00	2.000e+00	1.200e+01	3.464e+00	2.400e+01	4.899e+00	1.200e+01	3.464e+00	6.000e+00	2.449e+00	1.900e+01	4.359e+00	7.000e+00	2.646e+00	1.500e+01	3.873e+00	1.200e+01	3.464e+00
38	2.000e+00	1.414e+00	2.500e+01	5.000e+00	1.500e+01	3.873e+00	1.700e+01	4.123e+00	1.300e+01	3.606e+00	5.000e+00	2.236e+00	8.000e+00	2.828e+00	3.900e+01	6.245e+00	9.000e+00	3.000e+00	3.000e+00	1.732e+00	6.000e+00	2.449e+00	9.000e+00	3.000e+00	5.000e+00	2.236e+00	6.000e+00	2.449e+00	6.000e+00	2.449e+00	6.000e+00	2.449e+00	8.000e+00	2.828e+00	6.000e+00	2.449e+00	6.000e+00	2.449e+00	1.900e+01	4.359e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	3.000e+00	1.732e+00	8.000e+00	2.828e+00	2.800e+01	5.292e+00	1.400e+01	3.742e+00	8.000e+00	2.828e+00	1.000e+01	3.162e+00	5.000e+00	2.236e+00	1.400e+01	3.742e+00	4.000e+00	2.000e+00
39	3.000e+00	1.732e+00	3.200e+01	5.657e+00	2.300e+01	4.796e+00	1.600e+01	4.000e+00	9.000e+00	3.000e+00	6.000e+00	2.449e+00	9.000e+00	3.000e+00	4.400e+01	6.633e+00	1.000e+01	3.162e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	1.200e+01	3.464e+00	1.000e+00	1.000e+00	3.000e+00	1.732e+00	1.000e+01	3.162e+00	6.000e+00	2.449e+00	1.300e+01	3.606e+00	8.000e+00	2.828e+00	2.000e+00	1.414e+00	1.700e+01	4.123e+00	1.000e+01	3.162e+00	7.000e+00	2.646e+00	1.000e+01	3.162e+00	1.400e+01	3.742e+00	2.900e+01	5.385e+00	2.000e+01	4.472e+00	1.800e+01	4.243e+00	1.300e+01	3.606e+00	4.000e+00	2.000e+00	2.300e+01	4.796e+00	6.000e+00	2.449e+00
40	3.000e+00	1.732e+00	2.400e+01	4.899e+00	2.200e+01	4.690e+00	1.600e+01	4.000e+00	7.000e+00	2.646e+00	1.300e+01	3.606e+00	6.000e+00	2.449e+00	3.500e+01	5.916e+00	1.000e+01	3.162e+00	7.000e+00	2.646e+00	1.100e+01	3.317e+00	1.700e+01	4.123e+00	1.000e+00	1.000e+00	6.000e+00	2.449e+00	1.200e+01	3.464e+00	9.000e+00	3.000e+00	6.000e+00	2.449e+00	5.000e+00	2.236e+00	5.000e+00	2.236e+00	1.600e+01	4.000e+00	5.000e+00	2.236e+00	1.300e+01	3.606e+00	6.000e+00	2.449e+00	1.300e+01	3.606e+00	2.600e+01	5.099e+00	2.300e+01	4.796e+00	1.100e+01	3.317e+00	8.000e+00	2.828e+00	6.000e+00	2.449e+00	1.600e+01	4.000e+00	7.000e+00	2.646e+00
41	4.000e+00	2.000e+00	3.600e+01	6.000e+00	2.000e+01	4.472e+00	1.400e+01	3.742e+00	8.000e+00	2.828e+00	4.000e+00	2.000e+00	1.200e+01	3.464e+00	3.100e+01	5.568e+00	1.200e+01	3.464e+00	1.400e+01	3.742e+00	7.000e+00	2.646e+00	8.000e+00	2.828e+00	3.000e+00	1.732e+00	8.000e+00	2.828e+00	1.400e+01	3.742e+00	1.100e+01	3.317e+00	5.000e+00	2.236e+00	1.000e+01	3.162e+00	6.000e+00	2.449e+00	2.500e+01	5.000e+00	1.100e+01	3.317e+00	1.700e+01	4.123e+00	9.000e+00	3.000e+00	9.000e+00	3.000e+00	3.100e+01	5.568e+00	1.900e+01	4.359e+00	9.000e+00	3.000e+00	1.200e+01	3.464e+00	4.000e+00	2.000e+00	1.700e+01	4.123e+00	9.000e+00	3.000e+00
42	3.000e+00	1.732e+00	2.700e+01	5.196e+00	2.800e+01	5.292e+00	2.100e+01	4.583e+00	3.000e+00	1.732e+00	8.000e+00	2.828e+00	8.000e+00	2.828e+00	3.400e+01	5.831e+00	1.300e+01	3.606e+00	9.000e+00	3.000e+00	4.000e+00	2.000e+00	1.800e+01	4.243e+00	1.000e+00	1.000e+00	5.000e+00	2.236e+00	1.000e+01	3.162e+00	9.000e+00	3.000e+00	7.000e+00	2.646e+00	1.100e+01	3.317e+00	5.000e+00	2.236e+00	3.000e+01	5.477e+00	1.000e+01	3.162e+00	8.000e+00	2.828e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	3.200e+01	5.657e+00	2.100e+01	4.583e+00	6.000e+00	2.449e+00	2.300e+01	4.796e+00	6.000e+00	2.449e+00	1.900e+01	4.359e+00	3.000e+00	1.732e+00
43	0.000e+00	0.000e+00	2.000e+01	4.472e+00	2.400e+01	4.899e+00	1.400e+01	3.742e+00	8.000e+00	2.828e+00	4.000e+00	2.000e+00	5.000e+00	2.236e+00	5.100e+01	7.141e+00	1.700e+01	4.123e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	9.000e+00	3.000e+00	4.000e+00	2.000e+00	1.200e+01	3.464e+00	2.600e+01	5.099e+00	1.300e+01	3.606e+00	8.000e+00	2.828e+00	9.000e+00	3.000e+00	1.100e+01	3.317e+00	2.400e+01	4.899e+00	1.500e+01	3.873e+00	2.000e+01	4.472e+00	8.000e+00	2.828e+00	4.000e+00	2.000e+00	1.700e+01	4.123e+00	2.000e+01	4.472e+00	1.000e+01	3.162e+00	1.300e+01	3.606e+00	5.000e+00	2.236e+00	2.500e+01	5.000e+00	7.000e+00	2.646e+00
44	4.000e+00	2.000e+00	3.500e+01	5.916e+00	2.000e+01	4.472e+00	1.200e+01	3.464e+00	1.200e+01	3.464e+00	8.000e+00	2.828e+00	8.000e+00	2.828e+00	4.900e+01	7.000e+00	1.700e+01	4.123e+00	9.000e+00	3.000e+00	9.000e+00	3.000e+00	2.000e+01	4.472e+00	2.000e+00	1.414e+00	4.000e+00	2.000e+00	7.000e+00	2.646e+00	8.000e+00	2.828e+00	8.000e+00	2.828e+00	9.000e+00	3.000e+00	6.000e+00	2.449e+00	2.300e+01	4.796e+00	1.300e+01	3.606e+00	8.000e+00	2.828e+00	7.000e+00	2.646e+00	1.800e+01	4.243e+00	3.000e+01	5.477e+00	2.000e+01	4.472e+00	1.400e+01	3.742e+00	1.400e+01	3.742e+00	6.000e+00	2.449e+00	2.200e+01	4.690e+00	7.000e+00	2.646e+00
45	2.000e+00	1.414e+00	3.400e+01	5.831e+00	2.300e+01	4.796e+00	1.600e+01	4.000e+00	1.200e+01	3.464e+00	9.000e+00	3.000e+00	1.500e+01	3.873e+00	5.300e+01	7.280e+00	1.000e+01	3.162e+00	8.000e+00	2.828e+00	1.500e+01	3.873e+00	2.000e+01	4.472e+00	6.000e+00	2.449e+00	4.000e+00	2.000e+00	1.000e+01	3.162e+00	1.300e+01	3.606e+00	1.100e+01	3.317e+00	9.000e+00	3.000e+00	6.000e+00	2.449e+00	2.300e+01	4.796e+00	1.800e+01	4.243e+00	1.100e+01	3.317e+00	8.000e+00	2.828e+00	1.200e+01	3.464e+00	3.400e+01	5.831e+00	2.800e+01	5.292e+00	7.000e+00	2.646e+00	2.100e+01	4.583e+00	1.400e+01	3.742e+00	2.300e+01	4.796e+00	4.000e+00	2.000e+00
